JOBS: 
Id = 0, Burst Time = 83, Remaining Time = 83, Priority = 6
Id = 1, Burst Time = 77, Remaining Time = 77, Priority = 5
Id = 2, Burst Time = 93, Remaining Time = 93, Priority = 5
Id = 3, Burst Time = 86, Remaining Time = 86, Priority = 2
Id = 4, Burst Time = 49, Remaining Time = 49, Priority = 1
Id = 5, Burst Time = 62, Remaining Time = 62, Priority = 7
Id = 6, Burst Time = 90, Remaining Time = 90, Priority = 9
Id = 7, Burst Time = 63, Remaining Time = 63, Priority = 6
Id = 8, Burst Time = 40, Remaining Time = 40, Priority = 6
Id = 9, Burst Time = 72, Remaining Time = 72, Priority = 6
Id = 10, Burst Time = 11, Remaining Time = 11, Priority = 8
Id = 11, Burst Time = 67, Remaining Time = 67, Priority = 9
Id = 12, Burst Time = 82, Remaining Time = 82, Priority = 0
Id = 13, Burst Time = 62, Remaining Time = 62, Priority = 3
Id = 14, Burst Time = 67, Remaining Time = 67, Priority = 5
Id = 15, Burst Time = 29, Remaining Time = 29, Priority = 2
Id = 16, Burst Time = 22, Remaining Time = 22, Priority = 8
Id = 17, Burst Time = 69, Remaining Time = 69, Priority = 7
Id = 18, Burst Time = 93, Remaining Time = 93, Priority = 6
Id = 19, Burst Time = 11, Remaining Time = 11, Priority = 2
Id = 20, Burst Time = 29, Remaining Time = 29, Priority = 3
Id = 21, Burst Time = 21, Remaining Time = 21, Priority = 9
Id = 22, Burst Time = 84, Remaining Time = 84, Priority = 7
Id = 23, Burst Time = 98, Remaining Time = 98, Priority = 4
Id = 24, Burst Time = 15, Remaining Time = 15, Priority = 0
Id = 25, Burst Time = 13, Remaining Time = 13, Priority = 6
Id = 26, Burst Time = 91, Remaining Time = 91, Priority = 0
Id = 27, Burst Time = 56, Remaining Time = 56, Priority = 3
Id = 28, Burst Time = 62, Remaining Time = 62, Priority = 0
Id = 29, Burst Time = 96, Remaining Time = 96, Priority = 1
Id = 30, Burst Time = 5, Remaining Time = 5, Priority = 5
Id = 31, Burst Time = 84, Remaining Time = 84, Priority = 7
Id = 32, Burst Time = 36, Remaining Time = 36, Priority = 5
Id = 33, Burst Time = 46, Remaining Time = 46, Priority = 9
Id = 34, Burst Time = 13, Remaining Time = 13, Priority = 7
Id = 35, Burst Time = 24, Remaining Time = 24, Priority = 5
Id = 36, Burst Time = 82, Remaining Time = 82, Priority = 5
Id = 37, Burst Time = 14, Remaining Time = 14, Priority = 7
Id = 38, Burst Time = 34, Remaining Time = 34, Priority = 4
Id = 39, Burst Time = 43, Remaining Time = 43, Priority = 0
Id = 40, Burst Time = 87, Remaining Time = 87, Priority = 8
Id = 41, Burst Time = 76, Remaining Time = 76, Priority = 8
Id = 42, Burst Time = 88, Remaining Time = 88, Priority = 4
Id = 43, Burst Time = 3, Remaining Time = 3, Priority = 1
Id = 44, Burst Time = 54, Remaining Time = 54, Priority = 9
Id = 45, Burst Time = 32, Remaining Time = 32, Priority = 0
Id = 46, Burst Time = 76, Remaining Time = 76, Priority = 8
Id = 47, Burst Time = 39, Remaining Time = 39, Priority = 2
Id = 48, Burst Time = 26, Remaining Time = 26, Priority = 6
Id = 49, Burst Time = 94, Remaining Time = 94, Priority = 9
Id = 50, Burst Time = 95, Remaining Time = 95, Priority = 0
Id = 51, Burst Time = 34, Remaining Time = 34, Priority = 8
Id = 52, Burst Time = 67, Remaining Time = 67, Priority = 1
Id = 53, Burst Time = 97, Remaining Time = 97, Priority = 2
Id = 54, Burst Time = 17, Remaining Time = 17, Priority = 2
Id = 55, Burst Time = 52, Remaining Time = 52, Priority = 6
Id = 56, Burst Time = 1, Remaining Time = 1, Priority = 0
Id = 57, Burst Time = 86, Remaining Time = 86, Priority = 1
Id = 58, Burst Time = 65, Remaining Time = 65, Priority = 9
Id = 59, Burst Time = 44, Remaining Time = 44, Priority = 9
Id = 60, Burst Time = 40, Remaining Time = 40, Priority = 9
Id = 61, Burst Time = 31, Remaining Time = 31, Priority = 7
Id = 62, Burst Time = 97, Remaining Time = 97, Priority = 1
Id = 63, Burst Time = 81, Remaining Time = 81, Priority = 5
Id = 64, Burst Time = 9, Remaining Time = 9, Priority = 7
Id = 65, Burst Time = 67, Remaining Time = 67, Priority = 6
Id = 66, Burst Time = 97, Remaining Time = 97, Priority = 3
Id = 67, Burst Time = 86, Remaining Time = 86, Priority = 5
Id = 68, Burst Time = 6, Remaining Time = 6, Priority = 3
Id = 69, Burst Time = 19, Remaining Time = 19, Priority = 4
Id = 70, Burst Time = 28, Remaining Time = 28, Priority = 1
Id = 71, Burst Time = 32, Remaining Time = 32, Priority = 9
Id = 72, Burst Time = 3, Remaining Time = 3, Priority = 9
Id = 73, Burst Time = 70, Remaining Time = 70, Priority = 8
Id = 74, Burst Time = 8, Remaining Time = 8, Priority = 5
Id = 75, Burst Time = 40, Remaining Time = 40, Priority = 9
Id = 76, Burst Time = 96, Remaining Time = 96, Priority = 3
Id = 77, Burst Time = 18, Remaining Time = 18, Priority = 5
